"Pathway","Exposure","Mediator","Outcome","individual_IE","PIP_individual_IE","IED","PIP_IED","IEC","PIP_IEC"
"RAS/MAPK","CNA_ARAF","mRNA_RAF1","Drug_erlotinib","-0.00010762","0.0307","2.39e-06","0.0036","-0.00011002","0.0281"
"RAS/MAPK","CNA_ARAF","mRNA_MAP2K1","Drug_erlotinib","-1.252e-05","0.0024","-8.93e-06","5e-04","-3.59e-06","0.0019"
"RAS/MAPK","CNA_ARAF","mRNA_JUN","Drug_erlotinib","1.7e-07","0.0024","-2.64e-06","0.0011","2.82e-06","0.0013"
"RAS/MAPK","CNA_ARAF","Protein_ARAF","Drug_erlotinib","-6.735e-05","0.0119","-5.776e-05","0.0044","-9.59e-06","0.0077"
"RAS/MAPK","CNA_ARAF","Protein_JUN","Drug_erlotinib","2.71e-06","0.0011","8.3e-07","5e-04","1.88e-06","6e-04"
"RAS/MAPK","CNA_ARAF","Protein_RAF1","Drug_erlotinib","4.621e-05","0.0205","3.174e-05","0.0014","1.447e-05","0.0194"
"RAS/MAPK","CNA_ARAF","Protein_MAPK1","Drug_erlotinib","3.82e-06","0.0078","8.84e-06","0.0023","-5.03e-06","0.0062"
"RAS/MAPK","CNA_ARAF","Protein_MAPK8","Drug_erlotinib","1.9e-06","0.0015","1.93e-06","0.0011","-3e-08","4e-04"
"RAS/MAPK","CNA_ARAF","Protein_MAP2K1","Drug_erlotinib","2.129e-05","0.0093","1.206e-05","0.0054","9.23e-06","0.0041"
"RAS/MAPK","CNA_ARAF","Protein_MAPK14","Drug_erlotinib","1.01e-05","0.003","1.147e-05","0.0026","-1.37e-06","5e-04"
"RAS/MAPK","CNA_ARAF","Protein_RPS6KA1","Drug_erlotinib","-2.617e-05","0.0034","-3.065e-05","0.0016","4.48e-06","0.0018"
"RAS/MAPK","CNA_ARAF","Protein_YBX1","Drug_erlotinib","2.024e-05","0.0125","1.811e-05","0.0121","2.13e-06","0.0012"
"RAS/MAPK","mRNA_YBX1","Protein_ARAF","Drug_erlotinib","0.0008001","0.0422","0.0007857","0.0392","1.44e-05","0.0051"
"RAS/MAPK","mRNA_YBX1","Protein_JUN","Drug_erlotinib","2.031e-05","0.0024","1.891e-05","0.0014","1.4e-06","0.001"
"RAS/MAPK","mRNA_YBX1","Protein_RAF1","Drug_erlotinib","9.307e-05","0.0145","6.541e-05","0.0093","2.765e-05","0.0057"
"RAS/MAPK","mRNA_YBX1","Protein_MAPK1","Drug_erlotinib","-2.147e-05","0.0142","-7.57e-06","0.001","-1.39e-05","0.0139"
"RAS/MAPK","mRNA_YBX1","Protein_MAPK8","Drug_erlotinib","-3.37e-06","0.0062","-3.96e-06","0.0052","5.8e-07","0.0012"
"RAS/MAPK","mRNA_YBX1","Protein_MAP2K1","Drug_erlotinib","-4.722e-05","0.0211","1.356e-05","0.0033","-6.078e-05","0.0188"
"RAS/MAPK","mRNA_YBX1","Protein_MAPK14","Drug_erlotinib","-1.245e-05","0.0032","-7.21e-06","9e-04","-5.24e-06","0.0023"
"RAS/MAPK","mRNA_YBX1","Protein_RPS6KA1","Drug_erlotinib","5.699e-05","0.0076","6.053e-05","0.0045","-3.54e-06","0.0031"
"RAS/MAPK","mRNA_YBX1","Protein_YBX1","Drug_erlotinib","5.78e-06","0.0085","-1.52e-06","0.0011","7.3e-06","0.0075"
"RAS/MAPK","mRNA_ARAF","Protein_ARAF","Drug_erlotinib","8.81e-06","0.0088","1.526e-05","0.0063","-6.45e-06","0.0026"
"RAS/MAPK","mRNA_ARAF","Protein_JUN","Drug_erlotinib","-4e-07","0.001","-9.4e-07","4e-04","5.5e-07","6e-04"
"RAS/MAPK","mRNA_ARAF","Protein_RAF1","Drug_erlotinib","-7.46e-06","0.0062","-1.132e-05","0.0026","3.87e-06","0.0037"
"RAS/MAPK","mRNA_ARAF","Protein_MAPK1","Drug_erlotinib","1.2e-06","0.0025","-1.2e-07","1e-04","1.32e-06","0.0024"
"RAS/MAPK","mRNA_ARAF","Protein_MAPK8","Drug_erlotinib","-1.916e-05","0.0086","-1.91e-05","0.0086","-6e-08","1e-04"
"RAS/MAPK","mRNA_ARAF","Protein_MAP2K1","Drug_erlotinib","-1.41e-06","0.0022","-5.83e-06","0.0011","4.42e-06","0.0011"
"RAS/MAPK","mRNA_ARAF","Protein_MAPK14","Drug_erlotinib","-4.47e-06","0.002","-6.62e-06","0.0012","2.15e-06","8e-04"
"RAS/MAPK","mRNA_ARAF","Protein_RPS6KA1","Drug_erlotinib","2.77e-06","0.004","2.09e-06","0.0028","6.8e-07","0.0012"
"RAS/MAPK","mRNA_ARAF","Protein_YBX1","Drug_erlotinib","-1.015e-05","0.0022","-3.53e-06","0.0013","-6.61e-06","9e-04"
"RAS/MAPK","mRNA_MAPK1","Protein_ARAF","Drug_erlotinib","-0.00057241","0.0512","2.076e-05","0.0042","-0.00059317","0.0491"
"RAS/MAPK","mRNA_MAPK1","Protein_JUN","Drug_erlotinib","-8.65e-06","0.0035","-9.76e-06","0.0012","1.11e-06","0.0023"
"RAS/MAPK","mRNA_MAPK1","Protein_RAF1","Drug_erlotinib","0.00013456","0.0298","-1.105e-05","0.004","0.00014561","0.0273"
"RAS/MAPK","mRNA_MAPK1","Protein_MAPK1","Drug_erlotinib","0.00040191","0.0341","0.00040635","0.0341","-4.44e-06","0.0015"
"RAS/MAPK","mRNA_MAPK1","Protein_MAPK8","Drug_erlotinib","0.00025898","0.0285","0.00026022","0.0282","-1.24e-06","0.0014"
"RAS/MAPK","mRNA_MAPK1","Protein_MAP2K1","Drug_erlotinib","8.17e-06","0.0079","2.2e-05","0.0027","-1.383e-05","0.0056"
"RAS/MAPK","mRNA_MAPK1","Protein_MAPK14","Drug_erlotinib","2.423e-05","0.0038","2.251e-05","0.0025","1.72e-06","0.0013"
"RAS/MAPK","mRNA_MAPK1","Protein_RPS6KA1","Drug_erlotinib","-3.043e-05","0.0077","-6.77e-06","0.0024","-2.366e-05","0.0061"
"RAS/MAPK","mRNA_MAPK1","Protein_YBX1","Drug_erlotinib","-0.00018129","0.0277","-1.6e-05","0.0014","-0.00016529","0.0271"
"RAS/MAPK","mRNA_MAPK3","Protein_ARAF","Drug_erlotinib","-9.68e-06","0.0108","-4.51e-06","0.0048","-5.16e-06","0.0063"
"RAS/MAPK","mRNA_MAPK3","Protein_JUN","Drug_erlotinib","-6.381e-05","0.0078","-6.331e-05","0.0077","-5e-07","8e-04"
"RAS/MAPK","mRNA_MAPK3","Protein_RAF1","Drug_erlotinib","-1.592e-05","0.0099","-1.508e-05","0.0065","-8.4e-07","0.0038"
"RAS/MAPK","mRNA_MAPK3","Protein_MAPK1","Drug_erlotinib","-3.06e-06","0.0019","0","0","-3.06e-06","0.0019"
"RAS/MAPK","mRNA_MAPK3","Protein_MAPK8","Drug_erlotinib","-1.434e-05","0.0034","-1.157e-05","0.0028","-2.76e-06","6e-04"
"RAS/MAPK","mRNA_MAPK3","Protein_MAP2K1","Drug_erlotinib","5.712e-05","0.0096","4.05e-05","0.0045","1.662e-05","0.0055"
"RAS/MAPK","mRNA_MAPK3","Protein_MAPK14","Drug_erlotinib","1.977e-05","0.0019","2.159e-05","0.0012","-1.82e-06","7e-04"
"RAS/MAPK","mRNA_MAPK3","Protein_RPS6KA1","Drug_erlotinib","-5.3e-06","0.0039","-3.69e-06","8e-04","-1.61e-06","0.0031"
"RAS/MAPK","mRNA_MAPK3","Protein_YBX1","Drug_erlotinib","-2.84e-06","0.0031","-9.42e-06","6e-04","6.58e-06","0.0025"
"RAS/MAPK","mRNA_MAPK8","Protein_ARAF","Drug_erlotinib","1.412e-05","0.0097","-1.46e-05","0.0046","2.872e-05","0.0053"
"RAS/MAPK","mRNA_MAPK8","Protein_JUN","Drug_erlotinib","7.323e-05","0.0048","6.441e-05","0.0041","8.82e-06","0.0011"
"RAS/MAPK","mRNA_MAPK8","Protein_RAF1","Drug_erlotinib","4.712e-05","0.0092","2.073e-05","0.0037","2.639e-05","0.0057"
"RAS/MAPK","mRNA_MAPK8","Protein_MAPK1","Drug_erlotinib","-3.78e-06","0.0043","-4.1e-06","0.0013","3.2e-07","0.003"
"RAS/MAPK","mRNA_MAPK8","Protein_MAPK8","Drug_erlotinib","-2.255e-05","0.0013","-2.163e-05","0.0011","-9.2e-07","3e-04"
"RAS/MAPK","mRNA_MAPK8","Protein_MAP2K1","Drug_erlotinib","-3.704e-05","0.0067","-3.858e-05","0.0043","1.53e-06","0.0024"
"RAS/MAPK","mRNA_MAPK8","Protein_MAPK14","Drug_erlotinib","-3.594e-05","0.0041","-3.426e-05","0.0032","-1.68e-06","9e-04"
"RAS/MAPK","mRNA_MAPK8","Protein_RPS6KA1","Drug_erlotinib","-1.508e-05","0.0016","-9.68e-06","4e-04","-5.4e-06","0.0012"
"RAS/MAPK","mRNA_MAPK8","Protein_YBX1","Drug_erlotinib","1.465e-05","0.0035","1.212e-05","0.0015","2.53e-06","0.0022"
"RAS/MAPK","mRNA_MAPK14","Protein_ARAF","Drug_erlotinib","0.00010173","0.0105","6.892e-05","0.0035","3.281e-05","0.007"
"RAS/MAPK","mRNA_MAPK14","Protein_JUN","Drug_erlotinib","-7.4e-06","0.0018","-7.69e-06","0.0013","2.9e-07","5e-04"
"RAS/MAPK","mRNA_MAPK14","Protein_RAF1","Drug_erlotinib","-3.704e-05","0.0117","-4.919e-05","0.0038","1.214e-05","0.0081"
"RAS/MAPK","mRNA_MAPK14","Protein_MAPK1","Drug_erlotinib","-2.9e-06","0.0046","-4.16e-06","0.002","1.26e-06","0.0027"
"RAS/MAPK","mRNA_MAPK14","Protein_MAPK8","Drug_erlotinib","4.5e-06","0.0034","4.18e-06","0.003","3.2e-07","4e-04"
"RAS/MAPK","mRNA_MAPK14","Protein_MAP2K1","Drug_erlotinib","-4.367e-05","0.0058","-3.099e-05","0.0032","-1.268e-05","0.0027"
"RAS/MAPK","mRNA_MAPK14","Protein_MAPK14","Drug_erlotinib","-4.991e-05","0.0044","-4.973e-05","0.0043","-1.8e-07","3e-04"
"RAS/MAPK","mRNA_MAPK14","Protein_RPS6KA1","Drug_erlotinib","0.00010182","0.0071","9.176e-05","0.0044","1.006e-05","0.0027"
"RAS/MAPK","mRNA_MAPK14","Protein_YBX1","Drug_erlotinib","-3.966e-05","0.0062","-1.966e-05","0.0028","-2.001e-05","0.0035"
"RAS/MAPK","mRNA_RPS6KA1","Protein_ARAF","Drug_erlotinib","3.915e-05","0.029","-1.361e-05","0.0128","5.276e-05","0.0181"
"RAS/MAPK","mRNA_RPS6KA1","Protein_JUN","Drug_erlotinib","-6.236e-05","0.0115","-6.57e-05","0.0065","3.34e-06","0.0053"
"RAS/MAPK","mRNA_RPS6KA1","Protein_RAF1","Drug_erlotinib","-0.00099625","0.0384","-0.00081551","0.0283","-0.00018074","0.0154"
"RAS/MAPK","mRNA_RPS6KA1","Protein_MAPK1","Drug_erlotinib","1e-07","0.0096","3.79e-06","7e-04","-3.69e-06","0.0091"
"RAS/MAPK","mRNA_RPS6KA1","Protein_MAPK8","Drug_erlotinib","-3.65e-06","0.0028","-6.3e-06","0.0012","2.65e-06","0.0016"
"RAS/MAPK","mRNA_RPS6KA1","Protein_MAP2K1","Drug_erlotinib","-8.613e-05","0.0159","-3.886e-05","0.004","-4.727e-05","0.0124"
"RAS/MAPK","mRNA_RPS6KA1","Protein_MAPK14","Drug_erlotinib","7.88e-06","0.0055","1.243e-05","0.0026","-4.55e-06","0.0033"
"RAS/MAPK","mRNA_RPS6KA1","Protein_RPS6KA1","Drug_erlotinib","-0.00312056","0.0519","-0.00310726","0.0519","-1.33e-05","0.0047"
"RAS/MAPK","mRNA_RPS6KA1","Protein_YBX1","Drug_erlotinib","-9.927e-05","0.0154","-5.658e-05","0.0046","-4.269e-05","0.0128"
"RAS/MAPK","mRNA_RAF1","Protein_ARAF","Drug_erlotinib","4.799e-05","0.0108","2.823e-05","0.0019","1.976e-05","0.009"
"RAS/MAPK","mRNA_RAF1","Protein_JUN","Drug_erlotinib","-6.46e-06","0.0019","-7.28e-06","4e-04","8.2e-07","0.0016"
"RAS/MAPK","mRNA_RAF1","Protein_RAF1","Drug_erlotinib","0.00244499","0.0855","0.00244788","0.0853","-2.89e-06","0.0049"
"RAS/MAPK","mRNA_RAF1","Protein_MAPK1","Drug_erlotinib","1.471e-05","0.0105","7.38e-06","0.0021","7.32e-06","0.0089"
"RAS/MAPK","mRNA_RAF1","Protein_MAPK8","Drug_erlotinib","7.73e-06","0.0028","6.97e-06","0.0019","7.6e-07","9e-04"
"RAS/MAPK","mRNA_RAF1","Protein_MAP2K1","Drug_erlotinib","-2.276e-05","0.009","-7.49e-06","0.0036","-1.527e-05","0.0057"
"RAS/MAPK","mRNA_RAF1","Protein_MAPK14","Drug_erlotinib","1.35e-05","0.0032","9.01e-06","0.0019","4.5e-06","0.0013"
"RAS/MAPK","mRNA_RAF1","Protein_RPS6KA1","Drug_erlotinib","1.076e-05","0.0076","-4.93e-06","0.0012","1.569e-05","0.0067"
"RAS/MAPK","mRNA_RAF1","Protein_YBX1","Drug_erlotinib","0.00010052","0.0281","-5.22e-06","0.0019","0.00010574","0.027"
"RAS/MAPK","mRNA_MAP2K1","Protein_ARAF","Drug_erlotinib","-0.00057173","0.0658","-3.881e-05","0.0054","-0.00053293","0.0637"
"RAS/MAPK","mRNA_MAP2K1","Protein_JUN","Drug_erlotinib","-1.172e-05","0.0032","-1.264e-05","0.0018","9.2e-07","0.0018"
"RAS/MAPK","mRNA_MAP2K1","Protein_RAF1","Drug_erlotinib","7.55e-06","0.0217","5.735e-05","0.0104","-4.98e-05","0.0136"
"RAS/MAPK","mRNA_MAP2K1","Protein_MAPK1","Drug_erlotinib","-5.75e-06","0.0043","-3.21e-06","4e-04","-2.54e-06","0.0039"
"RAS/MAPK","mRNA_MAP2K1","Protein_MAPK8","Drug_erlotinib","4.57e-06","0.0029","2.12e-06","0.0021","2.44e-06","0.0012"
"RAS/MAPK","mRNA_MAP2K1","Protein_MAP2K1","Drug_erlotinib","0.00326029","0.0736","0.00324801","0.0736","1.228e-05","0.0055"
"RAS/MAPK","mRNA_MAP2K1","Protein_MAPK14","Drug_erlotinib","-3.166e-05","0.0032","-2.64e-05","0.0018","-5.26e-06","0.0016"
"RAS/MAPK","mRNA_MAP2K1","Protein_RPS6KA1","Drug_erlotinib","0.00033528","0.0196","0.00031225","0.0159","2.303e-05","0.0048"
"RAS/MAPK","mRNA_MAP2K1","Protein_YBX1","Drug_erlotinib","-5.182e-05","0.0084","-3.767e-05","0.0055","-1.415e-05","0.0043"
"RAS/MAPK","mRNA_JUN","Protein_ARAF","Drug_erlotinib","-2e-07","0.012","-2.492e-05","0.0043","2.472e-05","0.0079"
"RAS/MAPK","mRNA_JUN","Protein_JUN","Drug_erlotinib","0.00067283","0.0305","0.00067231","0.0301","5.2e-07","0.001"
"RAS/MAPK","mRNA_JUN","Protein_RAF1","Drug_erlotinib","0.00011288","0.0165","7.8e-05","0.009","3.488e-05","0.0087"
"RAS/MAPK","mRNA_JUN","Protein_MAPK1","Drug_erlotinib","-8.88e-06","0.0083","-1.172e-05","0.0015","2.84e-06","0.0072"
"RAS/MAPK","mRNA_JUN","Protein_MAPK8","Drug_erlotinib","-4.67e-06","0.0027","-9.65e-06","0.001","4.98e-06","0.0023"
"RAS/MAPK","mRNA_JUN","Protein_MAP2K1","Drug_erlotinib","-5.32e-06","0.0093","-1.046e-05","0.0029","5.13e-06","0.0069"
"RAS/MAPK","mRNA_JUN","Protein_MAPK14","Drug_erlotinib","-9.974e-05","0.0066","-9.991e-05","0.0063","1.7e-07","3e-04"
"RAS/MAPK","mRNA_JUN","Protein_RPS6KA1","Drug_erlotinib","4.717e-05","0.0109","5.125e-05","0.0057","-4.08e-06","0.0056"
"RAS/MAPK","mRNA_JUN","Protein_YBX1","Drug_erlotinib","4.348e-05","0.0094","1.752e-05","0.0047","2.595e-05","0.0053"
"RTK","CNA_SHC1","mRNA_ERBB3","Drug_erlotinib","-0.00096616","0.0785","-0.0002186","0.0385","-0.00074756","0.0455"
"RTK","CNA_SHC1","mRNA_ERBB2","Drug_erlotinib","7.633e-05","0.0108","3.531e-05","0.004","4.103e-05","0.0075"
"RTK","CNA_SHC1","mRNA_EGFR","Drug_erlotinib","0.00047599","0.0339","0.00014655","0.0063","0.00032943","0.0287"
"RTK","CNA_SHC1","mRNA_SHC1","Drug_erlotinib","0.00092422","0.0543","0.00073055","0.0202","0.00019366","0.0375"
"RTK","CNA_SHC1","mRNA_SRC","Drug_erlotinib","2.95e-06","0.0018","1.31e-06","0.0014","1.64e-06","4e-04"
"RTK","CNA_SHC1","Protein_EGFR","Drug_erlotinib","0.00013524","0.0177","6.752e-05","0.0055","6.772e-05","0.0129"
"RTK","CNA_SHC1","Protein_ERBB2","Drug_erlotinib","5.92e-06","0.0035","2.52e-06","0.0013","3.4e-06","0.0022"
"RTK","CNA_SHC1","Protein_ERBB3","Drug_erlotinib","1.089e-05","0.0047","5.66e-06","0.0011","5.23e-06","0.0039"
"RTK","CNA_SHC1","Protein_SHC1","Drug_erlotinib","-0.04401616","0.5935","-0.04384838","0.5851","-0.00016778","0.0197"
"RTK","CNA_SHC1","Protein_SRC","Drug_erlotinib","7.4e-07","0.0018","2.31e-06","3e-04","-1.57e-06","0.0015"
"RTK","CNA_ERBB3","mRNA_ERBB3","Drug_erlotinib","-0.00064477","0.0444","-0.00054737","0.0364","-9.739e-05","0.0103"
"RTK","CNA_ERBB3","mRNA_ERBB2","Drug_erlotinib","2.96e-05","0.0075","1.393e-05","6e-04","1.567e-05","0.0069"
"RTK","CNA_ERBB3","mRNA_EGFR","Drug_erlotinib","-3.173e-05","0.0076","-3.617e-05","0.002","4.45e-06","0.0058"
"RTK","CNA_ERBB3","mRNA_SHC1","Drug_erlotinib","0.00010594","0.0286","2.824e-05","0.0048","7.77e-05","0.0251"
"RTK","CNA_ERBB3","mRNA_SRC","Drug_erlotinib","-7.55e-06","0.0018","-7.55e-06","0.0018","0","0"
"RTK","CNA_ERBB3","Protein_EGFR","Drug_erlotinib","-4.35e-06","0.0072","-1.7e-07","0.0037","-4.18e-06","0.0036"
"RTK","CNA_ERBB3","Protein_ERBB2","Drug_erlotinib","5.5e-07","3e-04","0","0","5.5e-07","3e-04"
"RTK","CNA_ERBB3","Protein_ERBB3","Drug_erlotinib","5.11e-06","0.0015","2.21e-06","5e-04","2.9e-06","0.001"
"RTK","CNA_ERBB3","Protein_SHC1","Drug_erlotinib","0.00045321","0.0468","0.00036431","0.0331","8.89e-05","0.0145"
"RTK","CNA_ERBB3","Protein_SRC","Drug_erlotinib","3.2e-06","7e-04","1.73e-06","2e-04","1.48e-06","5e-04"
"RTK","CNA_ERBB2","mRNA_ERBB3","Drug_erlotinib","0.00278373","0.1166","0.00035336","0.0087","0.00243037","0.1145"
"RTK","CNA_ERBB2","mRNA_ERBB2","Drug_erlotinib","-0.00037804","0.0228","-0.00035493","0.0222","-2.311e-05","0.0038"
"RTK","CNA_ERBB2","mRNA_EGFR","Drug_erlotinib","0.00047326","0.0391","0.00032462","0.0202","0.00014864","0.0216"
"RTK","CNA_ERBB2","mRNA_SHC1","Drug_erlotinib","-0.00040548","0.0442","-9.219e-05","0.0096","-0.00031329","0.0383"
"RTK","CNA_ERBB2","mRNA_SRC","Drug_erlotinib","-1.168e-05","0.0018","-1.213e-05","0.0014","4.5e-07","4e-04"
"RTK","CNA_ERBB2","Protein_EGFR","Drug_erlotinib","0.00011362","0.0271","2.778e-05","0.0038","8.584e-05","0.0238"
"RTK","CNA_ERBB2","Protein_ERBB2","Drug_erlotinib","0.00012096","0.0164","0.00012384","0.016","-2.87e-06","9e-04"
"RTK","CNA_ERBB2","Protein_ERBB3","Drug_erlotinib","2.465e-05","0.0071","-5.04e-06","6e-04","2.969e-05","0.0065"
"RTK","CNA_ERBB2","Protein_SHC1","Drug_erlotinib","6.547e-05","0.091","5.959e-05","0.0372","5.88e-06","0.0573"
"RTK","CNA_ERBB2","Protein_SRC","Drug_erlotinib","-8.96e-06","0.0042","-7.1e-07","3e-04","-8.25e-06","0.004"
"RTK","CNA_SRC","mRNA_ERBB3","Drug_erlotinib","0.00020906","0.0174","0.00014667","0.0091","6.239e-05","0.0099"
"RTK","CNA_SRC","mRNA_ERBB2","Drug_erlotinib","-1.679e-05","0.0023","-2.329e-05","0.0012","6.5e-06","0.0013"
"RTK","CNA_SRC","mRNA_EGFR","Drug_erlotinib","-5.201e-05","0.0069","-4.154e-05","0.002","-1.047e-05","0.0049"
"RTK","CNA_SRC","mRNA_SHC1","Drug_erlotinib","-0.00011809","0.0144","-9.586e-05","0.0067","-2.223e-05","0.008"
"RTK","CNA_SRC","mRNA_SRC","Drug_erlotinib","1.073e-05","0.0027","1.073e-05","0.0027","0","0"
"RTK","CNA_SRC","Protein_EGFR","Drug_erlotinib","5.684e-05","0.0092","5.108e-05","0.0071","5.77e-06","0.0024"
"RTK","CNA_SRC","Protein_ERBB2","Drug_erlotinib","2.031e-05","0.004","1.856e-05","0.0023","1.76e-06","0.0019"
"RTK","CNA_SRC","Protein_ERBB3","Drug_erlotinib","-2.29e-06","8e-04","-1.99e-06","7e-04","-3e-07","1e-04"
"RTK","CNA_SRC","Protein_SHC1","Drug_erlotinib","-5.099e-05","0.0638","-8.096e-05","0.0328","2.997e-05","0.0322"
"RTK","CNA_SRC","Protein_SRC","Drug_erlotinib","-2.148e-05","0.0029","-2.216e-05","0.0028","6.8e-07","1e-04"
"RTK","CNA_EGFR","mRNA_ERBB3","Drug_erlotinib","0.00015472","0.0403","0.00020792","0.0225","-5.32e-05","0.02"
"RTK","CNA_EGFR","mRNA_ERBB2","Drug_erlotinib","4.213e-05","0.0077","3.262e-05","0.0029","9.5e-06","0.0052"
"RTK","CNA_EGFR","mRNA_EGFR","Drug_erlotinib","-0.01159644","0.1629","-0.01154852","0.1625","-4.792e-05","0.0071"
"RTK","CNA_EGFR","mRNA_SHC1","Drug_erlotinib","-0.00059685","0.0604","5.899e-05","0.0051","-0.00065584","0.0587"
"RTK","CNA_EGFR","mRNA_SRC","Drug_erlotinib","-3.42e-06","0.0021","8e-07","0.0013","-4.22e-06","8e-04"
"RTK","CNA_EGFR","Protein_EGFR","Drug_erlotinib","-0.00072718","0.0313","-0.00070083","0.0275","-2.635e-05","0.0051"
"RTK","CNA_EGFR","Protein_ERBB2","Drug_erlotinib","3.51e-06","0.0032","-1.2e-07","2e-04","3.64e-06","0.0031"
"RTK","CNA_EGFR","Protein_ERBB3","Drug_erlotinib","4.26e-06","0.0036","-7e-07","0.0016","4.96e-06","0.002"
"RTK","CNA_EGFR","Protein_SHC1","Drug_erlotinib","-0.00259344","0.1071","-0.00253265","0.0788","-6.079e-05","0.0336"
"RTK","CNA_EGFR","Protein_SRC","Drug_erlotinib","4.5e-07","0.001","2.63e-06","3e-04","-2.18e-06","7e-04"
"RTK","mRNA_ERBB3","Protein_EGFR","Drug_erlotinib","0.00014615","0.0233","8.13e-06","0.004","0.00013803","0.021"
"RTK","mRNA_ERBB3","Protein_ERBB2","Drug_erlotinib","-1.126e-05","0.0078","-4.9e-07","0.001","-1.076e-05","0.0073"
"RTK","mRNA_ERBB3","Protein_ERBB3","Drug_erlotinib","-0.00044286","0.0321","-0.00045238","0.0321","9.52e-06","0.0015"
"RTK","mRNA_ERBB3","Protein_SHC1","Drug_erlotinib","-0.02961826","0.5178","-0.03119876","0.4259","0.0015805","0.1402"
"RTK","mRNA_ERBB3","Protein_SRC","Drug_erlotinib","1.65e-06","0.0015","4.8e-07","2e-04","1.17e-06","0.0013"
"RTK","mRNA_ERBB2","Protein_EGFR","Drug_erlotinib","0.00033107","0.0397","4.707e-05","0.0045","0.000284","0.0374"
"RTK","mRNA_ERBB2","Protein_ERBB2","Drug_erlotinib","7.562e-05","0.0207","8.35e-05","0.0201","-7.88e-06","0.0019"
"RTK","mRNA_ERBB2","Protein_ERBB3","Drug_erlotinib","9.83e-06","0.0082","-1.19e-05","8e-04","2.173e-05","0.0076"
"RTK","mRNA_ERBB2","Protein_SHC1","Drug_erlotinib","-0.01954423","0.34","-0.01898738","0.2969","-0.00055685","0.0716"
"RTK","mRNA_ERBB2","Protein_SRC","Drug_erlotinib","7.6e-07","0.0053","2e-08","1e-04","7.5e-07","0.0053"
"RTK","mRNA_EGFR","Protein_EGFR","Drug_erlotinib","-0.01189818","0.1118","-0.01181658","0.1117","-8.16e-05","0.0127"
"RTK","mRNA_EGFR","Protein_ERBB2","Drug_erlotinib","-5.59e-05","0.0083","-8.66e-06","0.0012","-4.724e-05","0.0074"
"RTK","mRNA_EGFR","Protein_ERBB3","Drug_erlotinib","2.027e-05","0.0105","1.28e-06","0.0018","1.899e-05","0.0088"
"RTK","mRNA_EGFR","Protein_SHC1","Drug_erlotinib","-0.04887541","0.6703","-0.05089893","0.6183","0.00202352","0.1161"
"RTK","mRNA_EGFR","Protein_SRC","Drug_erlotinib","-5.3e-06","0.0018","-1.84e-06","2e-04","-3.47e-06","0.0017"
"RTK","mRNA_SHC1","Protein_EGFR","Drug_erlotinib","2.032e-05","0.0069","1.472e-05","0.0023","5.59e-06","0.0048"
"RTK","mRNA_SHC1","Protein_ERBB2","Drug_erlotinib","-5.78e-06","0.0014","-3.29e-06","5e-04","-2.48e-06","9e-04"
"RTK","mRNA_SHC1","Protein_ERBB3","Drug_erlotinib","3.34e-06","0.0017","3.53e-06","5e-04","-1.9e-07","0.0012"
"RTK","mRNA_SHC1","Protein_SHC1","Drug_erlotinib","-0.00281156","0.0905","-0.00268646","0.0752","-0.0001251","0.0184"
"RTK","mRNA_SHC1","Protein_SRC","Drug_erlotinib","1.6e-07","5e-04","0","0","1.6e-07","5e-04"
"RTK","mRNA_SRC","Protein_EGFR","Drug_erlotinib","1.523e-05","0.0132","4.31e-06","0.0063","1.093e-05","0.0077"
"RTK","mRNA_SRC","Protein_ERBB2","Drug_erlotinib","2.525e-05","0.0087","1.024e-05","0.0013","1.501e-05","0.0076"
"RTK","mRNA_SRC","Protein_ERBB3","Drug_erlotinib","6.14e-06","0.0043","6.19e-06","0.0027","-5e-08","0.002"
"RTK","mRNA_SRC","Protein_SHC1","Drug_erlotinib","0.00301488","0.1856","-0.000407","0.0271","0.00342187","0.1656"
"RTK","mRNA_SRC","Protein_SRC","Drug_erlotinib","-0.00043283","0.0151","-0.00043283","0.0151","0","0"
"TSC/mTOR","CNA_MTOR","mRNA_RPS6KB1","Drug_erlotinib","1.12e-06","0.0214","4.58e-06","0.001","-3.46e-06","0.0211"
"TSC/mTOR","CNA_MTOR","mRNA_RPS6","Drug_erlotinib","-2.628e-05","0.0039","-1.982e-05","0.0013","-6.46e-06","0.0026"
"TSC/mTOR","CNA_MTOR","mRNA_RB1","Drug_erlotinib","-2.9e-07","0.0021","-1.3e-07","1e-04","-1.6e-07","0.002"
"TSC/mTOR","CNA_MTOR","mRNA_EIF4EBP1","Drug_erlotinib","-1.45e-05","0.0033","3.7e-06","6e-04","-1.82e-05","0.0027"
"TSC/mTOR","CNA_MTOR","mRNA_MTOR","Drug_erlotinib","0.00082634","0.0396","0.00081588","0.0393","1.046e-05","0.0022"
"TSC/mTOR","CNA_MTOR","Protein_EIF4EBP1","Drug_erlotinib","1.519e-05","0.0016","1.105e-05","8e-04","4.15e-06","8e-04"
"TSC/mTOR","CNA_MTOR","Protein_MTOR","Drug_erlotinib","-1.435e-05","0.0028","-1.331e-05","0.0025","-1.04e-06","3e-04"
"TSC/mTOR","CNA_MTOR","Protein_RPS6KB1","Drug_erlotinib","-6.084e-05","0.0068","-5.834e-05","0.0045","-2.5e-06","0.0024"
