"Pathway","Exposure","Mediator","Outcome","IED","PIP_IED","IEC","PIP_IEC","IE","PIP_IE"
"PI3K/AKT","mRNA_INPP4B","Protein_PTEN","Drug_gefitinib","2.598e-05","0.0021","-2.78e-06","0.0029","2.877e-05","0.0049"
"PI3K/AKT","mRNA_INPP4B","Protein_TSC2","Drug_gefitinib","1.9e-06","5e-04","8.3e-07","8e-04","1.07e-06","0.0013"
"PI3K/AKT","mRNA_CDKN1B","Protein_AKT1","Drug_gefitinib","-1.495e-05","0.0015","1.106e-05","0.0083","-2.601e-05","0.0096"
"PI3K/AKT","mRNA_CDKN1B","Protein_GSK3B","Drug_gefitinib","-0.00036055","0.0182","3.91e-05","0.0125","-0.00039965","0.029"
"PI3K/AKT","mRNA_CDKN1B","Protein_GSK3A","Drug_gefitinib","-3.337e-05","0.0052","-3.702e-05","0.0151","3.65e-06","0.0188"
"PI3K/AKT","mRNA_CDKN1B","Protein_INPP4B","Drug_gefitinib","-0.00025553","0.0158","5.496e-05","0.0324","-0.0003105","0.0458"
"PI3K/AKT","mRNA_CDKN1B","Protein_CDKN1B","Drug_gefitinib","0.00012889","0.0232","-5.1e-07","0.0022","0.0001294","0.0235"
"PI3K/AKT","mRNA_CDKN1B","Protein_AKT1S1","Drug_gefitinib","0.00023987","0.0099","-0.00092144","0.0734","0.00116131","0.0804"
"PI3K/AKT","mRNA_CDKN1B","Protein_PTEN","Drug_gefitinib","-1.474e-05","0.0014","8.53e-06","0.0057","-2.328e-05","0.0069"
"PI3K/AKT","mRNA_CDKN1B","Protein_TSC2","Drug_gefitinib","-6.85e-06","0.001","-4.15e-06","0.0029","-2.7e-06","0.0038"
"PI3K/AKT","mRNA_AKT3","Protein_AKT1","Drug_gefitinib","1.074e-05","0.0121","8.08e-06","0.0039","2.67e-06","0.0151"
"PI3K/AKT","mRNA_AKT3","Protein_GSK3B","Drug_gefitinib","2.388e-05","0.0029","5.162e-05","0.0142","-2.774e-05","0.0161"
"PI3K/AKT","mRNA_AKT3","Protein_GSK3A","Drug_gefitinib","-6.58e-05","0.0037","3.396e-05","0.0211","-9.976e-05","0.0233"
"PI3K/AKT","mRNA_AKT3","Protein_INPP4B","Drug_gefitinib","0.00360252","0.0903","-4.994e-05","0.0167","0.00365246","0.1031"
"PI3K/AKT","mRNA_AKT3","Protein_CDKN1B","Drug_gefitinib","-4.566e-05","0.0036","1.147e-05","0.0044","-5.713e-05","0.0077"
"PI3K/AKT","mRNA_AKT3","Protein_AKT1S1","Drug_gefitinib","-0.00021112","0.0205","-0.000109","0.0298","-0.00010212","0.0457"
"PI3K/AKT","mRNA_AKT3","Protein_PTEN","Drug_gefitinib","-1.454e-05","0.0031","-4.34e-06","0.0082","-1.02e-05","0.0103"
"PI3K/AKT","mRNA_AKT3","Protein_TSC2","Drug_gefitinib","6.12e-06","0.0011","-4.86e-06","0.0018","1.098e-05","0.0029"
"PI3K/AKT","mRNA_AKT1","Protein_AKT1","Drug_gefitinib","0.00021379","0.0266","-6e-07","0.0015","0.00021439","0.0268"
"PI3K/AKT","mRNA_AKT1","Protein_GSK3B","Drug_gefitinib","7.468e-05","0.0092","-1.982e-05","0.0129","9.451e-05","0.0209"
"PI3K/AKT","mRNA_AKT1","Protein_GSK3A","Drug_gefitinib","-6.557e-05","0.0037","0.00054752","0.0348","-0.00061309","0.0362"
"PI3K/AKT","mRNA_AKT1","Protein_INPP4B","Drug_gefitinib","-2.196e-05","0.0069","3.609e-05","0.0149","-5.805e-05","0.0212"
"PI3K/AKT","mRNA_AKT1","Protein_CDKN1B","Drug_gefitinib","-3.17e-06","7e-04","-4.12e-06","0.0028","9.5e-07","0.0035"
"PI3K/AKT","mRNA_AKT1","Protein_AKT1S1","Drug_gefitinib","-1.411e-05","0.0022","6.138e-05","0.0198","-7.549e-05","0.0218"
"PI3K/AKT","mRNA_AKT1","Protein_PTEN","Drug_gefitinib","4.6e-06","0.0023","-1.609e-05","0.007","2.069e-05","0.0093"
"PI3K/AKT","mRNA_AKT1","Protein_TSC2","Drug_gefitinib","6.45e-06","0.0013","3.6e-07","8e-04","6.09e-06","0.0021"
"PI3K/AKT","mRNA_PTEN","Protein_AKT1","Drug_gefitinib","-4.81e-06","8e-04","9.9e-07","0.0047","-5.8e-06","0.0054"
"PI3K/AKT","mRNA_PTEN","Protein_GSK3B","Drug_gefitinib","-6.29e-06","0.0036","4.715e-05","0.0112","-5.344e-05","0.0145"
"PI3K/AKT","mRNA_PTEN","Protein_GSK3A","Drug_gefitinib","9.89e-06","0.0014","2.067e-05","0.0063","-1.078e-05","0.0077"
"PI3K/AKT","mRNA_PTEN","Protein_INPP4B","Drug_gefitinib","9.96e-06","0.012","-9.75e-06","0.012","1.971e-05","0.0238"
"PI3K/AKT","mRNA_PTEN","Protein_CDKN1B","Drug_gefitinib","-1.593e-05","7e-04","-4.62e-06","0.0033","-1.131e-05","0.004"
"PI3K/AKT","mRNA_PTEN","Protein_AKT1S1","Drug_gefitinib","0.00012448","0.0094","-0.00045206","0.0817","0.00057655","0.0842"
"PI3K/AKT","mRNA_PTEN","Protein_PTEN","Drug_gefitinib","-0.00063889","0.0361","2.295e-05","0.0033","-0.00066184","0.0377"
"PI3K/AKT","mRNA_PTEN","Protein_TSC2","Drug_gefitinib","5.12e-06","5e-04","-1.69e-06","0.0013","6.81e-06","0.0018"
"PI3K/AKT","mRNA_AKT1S1","Protein_AKT1","Drug_gefitinib","-1.087e-05","0.0019","4.25e-06","0.0026","-1.512e-05","0.0043"
"PI3K/AKT","mRNA_AKT1S1","Protein_GSK3B","Drug_gefitinib","-5.819e-05","0.005","3.778e-05","0.0091","-9.596e-05","0.0133"
"PI3K/AKT","mRNA_AKT1S1","Protein_GSK3A","Drug_gefitinib","3.98e-06","0.0024","1.258e-05","0.0072","-8.6e-06","0.0087"
"PI3K/AKT","mRNA_AKT1S1","Protein_INPP4B","Drug_gefitinib","0.00023699","0.0131","-2.917e-05","0.0184","0.00026615","0.0307"
"PI3K/AKT","mRNA_AKT1S1","Protein_CDKN1B","Drug_gefitinib","-8.89e-06","3e-04","4.77e-06","0.0122","-1.366e-05","0.0122"
"PI3K/AKT","mRNA_AKT1S1","Protein_AKT1S1","Drug_gefitinib","0.00130667","0.0758","-0.00011259","0.0148","0.00141927","0.0813"
"PI3K/AKT","mRNA_AKT1S1","Protein_PTEN","Drug_gefitinib","-3.91e-06","0.001","0.00010283","0.0244","-0.00010674","0.0247"
"PI3K/AKT","mRNA_AKT1S1","Protein_TSC2","Drug_gefitinib","5.61e-06","0.0014","-1.19e-06","5e-04","6.8e-06","0.0019"
"RAS/MAPK","CNA_RPS6KA1","mRNA_YBX1","Drug_gefitinib","1.05e-06","0.0026","-1.91e-06","0.0013","2.96e-06","0.0038"
"RAS/MAPK","CNA_RPS6KA1","mRNA_ARAF","Drug_gefitinib","-6.13e-06","0.0013","-4.62e-06","0.0018","-1.51e-06","0.0031"
"RAS/MAPK","CNA_RPS6KA1","mRNA_MAPK1","Drug_gefitinib","-2.53e-06","4e-04","-5.36e-06","0.0048","2.83e-06","0.0052"
"RAS/MAPK","CNA_RPS6KA1","mRNA_MAPK3","Drug_gefitinib","1.494e-05","0.0022","-4.069e-05","0.0217","5.563e-05","0.0234"
"RAS/MAPK","CNA_RPS6KA1","mRNA_MAPK8","Drug_gefitinib","5.3e-06","0.002","1e-08","0.0019","5.3e-06","0.0038"
"RAS/MAPK","CNA_RPS6KA1","mRNA_MAPK14","Drug_gefitinib","-6.05e-06","3e-04","1.136e-05","0.0064","-1.741e-05","0.0064"
"RAS/MAPK","CNA_RPS6KA1","mRNA_RPS6KA1","Drug_gefitinib","-0.00207615","0.0725","4.42e-05","0.0077","-0.00212035","0.0754"
"RAS/MAPK","CNA_RPS6KA1","mRNA_RAF1","Drug_gefitinib","8.59e-06","0.0024","-1.655e-05","0.0078","2.514e-05","0.0101"
"RAS/MAPK","CNA_RPS6KA1","mRNA_MAP2K1","Drug_gefitinib","2.6e-07","0.0041","-1.188e-05","0.0072","1.214e-05","0.0101"
"RAS/MAPK","CNA_RPS6KA1","mRNA_JUN","Drug_gefitinib","6.93e-06","0.0017","-2.87e-06","0.005","9.8e-06","0.0064"
"RAS/MAPK","CNA_RPS6KA1","Protein_ARAF","Drug_gefitinib","-3.43e-06","0.0022","-5.46e-06","0.0046","2.03e-06","0.0067"
"RAS/MAPK","CNA_RPS6KA1","Protein_JUN","Drug_gefitinib","0","0","-1.66e-06","0.0011","1.66e-06","0.0011"
"RAS/MAPK","CNA_RPS6KA1","Protein_RAF1","Drug_gefitinib","-1.96e-05","0.0022","-1.2e-06","0.0013","-1.84e-05","0.0035"
"RAS/MAPK","CNA_RPS6KA1","Protein_MAPK1","Drug_gefitinib","-1.079e-05","0.0017","3.12e-06","0.0021","-1.391e-05","0.0037"
"RAS/MAPK","CNA_RPS6KA1","Protein_MAPK8","Drug_gefitinib","-1.1e-07","1e-04","2e-08","2e-04","-1.3e-07","3e-04"
"RAS/MAPK","CNA_RPS6KA1","Protein_MAP2K1","Drug_gefitinib","-7e-07","9e-04","-2.95e-06","0.0013","2.25e-06","0.0022"
"RAS/MAPK","CNA_RPS6KA1","Protein_MAPK14","Drug_gefitinib","-1.14e-06","3e-04","0","0","-1.14e-06","3e-04"
"RAS/MAPK","CNA_RPS6KA1","Protein_RPS6KA1","Drug_gefitinib","0.00026288","0.0187","-1.656e-05","0.0094","0.00027944","0.0276"
"RAS/MAPK","CNA_RPS6KA1","Protein_YBX1","Drug_gefitinib","-2.499e-05","0.0063","-3.535e-05","0.0101","1.036e-05","0.0153"
"RAS/MAPK","CNA_YBX1","mRNA_YBX1","Drug_gefitinib","0.00017807","0.0282","9.4e-07","5e-04","0.00017713","0.0283"
"RAS/MAPK","CNA_YBX1","mRNA_ARAF","Drug_gefitinib","-1.53e-06","2e-04","-8.6e-07","0.0016","-6.6e-07","0.0017"
"RAS/MAPK","CNA_YBX1","mRNA_MAPK1","Drug_gefitinib","-1.521e-05","9e-04","4.5e-06","0.0029","-1.971e-05","0.0038"
"RAS/MAPK","CNA_YBX1","mRNA_MAPK3","Drug_gefitinib","-6.1e-07","4e-04","-1.01e-06","0.0019","4e-07","0.0023"
"RAS/MAPK","CNA_YBX1","mRNA_MAPK8","Drug_gefitinib","-8.05e-06","0.0012","-1.58e-06","0.0013","-6.47e-06","0.0023"
"RAS/MAPK","CNA_YBX1","mRNA_MAPK14","Drug_gefitinib","-4.17e-06","6e-04","-3.42e-06","0.0051","-7.5e-07","0.0054"
"RAS/MAPK","CNA_YBX1","mRNA_RPS6KA1","Drug_gefitinib","-1.3e-05","0.0078","2.092e-05","0.0054","-3.392e-05","0.0128"
"RAS/MAPK","CNA_YBX1","mRNA_RAF1","Drug_gefitinib","9.78e-06","0.0022","5.09e-05","0.0151","-4.112e-05","0.017"
"RAS/MAPK","CNA_YBX1","mRNA_MAP2K1","Drug_gefitinib","-1.57e-06","0.0018","-6.43e-06","0.0028","4.86e-06","0.0042"
"RAS/MAPK","CNA_YBX1","mRNA_JUN","Drug_gefitinib","-4.88e-06","0.0012","7.66e-06","0.0043","-1.255e-05","0.0054"
"RAS/MAPK","CNA_YBX1","Protein_ARAF","Drug_gefitinib","-1.43e-05","0.0047","-4.44e-06","0.0035","-9.87e-06","0.008"
"RAS/MAPK","CNA_YBX1","Protein_JUN","Drug_gefitinib","-7.11e-06","4e-04","1.75e-06","6e-04","-8.86e-06","0.001"
"RAS/MAPK","CNA_YBX1","Protein_RAF1","Drug_gefitinib","5.46e-06","0.0023","-2.14e-06","0.0014","7.61e-06","0.0036"
"RAS/MAPK","CNA_YBX1","Protein_MAPK1","Drug_gefitinib","5.51e-06","0.0013","-1.7e-07","0.0011","5.69e-06","0.0024"
"RAS/MAPK","CNA_YBX1","Protein_MAPK8","Drug_gefitinib","-6.23e-06","9e-04","0","1e-04","-6.23e-06","0.001"
"RAS/MAPK","CNA_YBX1","Protein_MAP2K1","Drug_gefitinib","6.87e-06","0.0014","7.4e-07","8e-04","6.13e-06","0.0022"
"RAS/MAPK","CNA_YBX1","Protein_MAPK14","Drug_gefitinib","-9.63e-06","0.0011","-3.1e-07","6e-04","-9.32e-06","0.0017"
"RAS/MAPK","CNA_YBX1","Protein_RPS6KA1","Drug_gefitinib","9.13e-06","0.0119","2.333e-05","0.0089","-1.419e-05","0.0207"
"RAS/MAPK","CNA_YBX1","Protein_YBX1","Drug_gefitinib","-1.86e-06","0.0021","-1.146e-05","0.0081","9.6e-06","0.01"
"RAS/MAPK","CNA_JUN","mRNA_YBX1","Drug_gefitinib","-1.98e-05","0.0045","1.19e-06","8e-04","-2.099e-05","0.0051"
"RAS/MAPK","CNA_JUN","mRNA_ARAF","Drug_gefitinib","4.44e-06","0.0017","-1.88e-06","8e-04","6.32e-06","0.0024"
"RAS/MAPK","CNA_JUN","mRNA_MAPK1","Drug_gefitinib","-1.31e-06","4e-04","2.9e-06","0.0029","-4.21e-06","0.0033"
"RAS/MAPK","CNA_JUN","mRNA_MAPK3","Drug_gefitinib","-1.66e-06","0.0011","3.25e-06","0.0024","-4.9e-06","0.0035"
"RAS/MAPK","CNA_JUN","mRNA_MAPK8","Drug_gefitinib","-1.21e-05","0.0027","-2.94e-06","0.0011","-9.16e-06","0.0038"
"RAS/MAPK","CNA_JUN","mRNA_MAPK14","Drug_gefitinib","1.549e-05","0.001","1.377e-05","0.0046","1.72e-06","0.0056"
"RAS/MAPK","CNA_JUN","mRNA_RPS6KA1","Drug_gefitinib","3.508e-05","0.0049","1.095e-05","0.0039","2.414e-05","0.0087"
"RAS/MAPK","CNA_JUN","mRNA_RAF1","Drug_gefitinib","4.29e-06","0.0016","-1.698e-05","0.0049","2.127e-05","0.0065"
"RAS/MAPK","CNA_JUN","mRNA_MAP2K1","Drug_gefitinib","-4.75e-06","0.0011","-2.31e-06","0.0028","-2.45e-06","0.0039"
"RAS/MAPK","CNA_JUN","mRNA_JUN","Drug_gefitinib","4.01e-05","0.0059","-3e-06","0.0015","4.31e-05","0.0071"
"RAS/MAPK","CNA_JUN","Protein_ARAF","Drug_gefitinib","6.521e-05","0.0041","-1.821e-05","0.0043","8.342e-05","0.0077"
"RAS/MAPK","CNA_JUN","Protein_JUN","Drug_gefitinib","-6.8e-06","4e-04","3.6e-07","8e-04","-7.16e-06","0.0012"
"RAS/MAPK","CNA_JUN","Protein_RAF1","Drug_gefitinib","7.97e-06","0.0014","-1.37e-06","0.002","9.34e-06","0.0034"
"RAS/MAPK","CNA_JUN","Protein_MAPK1","Drug_gefitinib","-3.5e-07","1e-04","-2.41e-06","0.0029","2.06e-06","0.003"
"RAS/MAPK","CNA_JUN","Protein_MAPK8","Drug_gefitinib","-3.11e-06","0.0011","0","1e-04","-3.11e-06","0.0012"
"RAS/MAPK","CNA_JUN","Protein_MAP2K1","Drug_gefitinib","-5.18e-06","0.0014","1.2e-06","0.0017","-6.38e-06","0.003"
"RAS/MAPK","CNA_JUN","Protein_MAPK14","Drug_gefitinib","3.81e-06","0.0014","2e-07","3e-04","3.61e-06","0.0017"
"RAS/MAPK","CNA_JUN","Protein_RPS6KA1","Drug_gefitinib","-0.00142523","0.0515","8.489e-05","0.009","-0.00151013","0.0585"
"RAS/MAPK","CNA_JUN","Protein_YBX1","Drug_gefitinib","-1.873e-05","0.0031","-8.83e-06","0.0061","-9.9e-06","0.0092"
"RAS/MAPK","CNA_MAPK8","mRNA_YBX1","Drug_gefitinib","-6.74e-06","0.0013","3.29e-06","0.0036","-1.003e-05","0.0049"
"RAS/MAPK","CNA_MAPK8","mRNA_ARAF","Drug_gefitinib","-3.087e-05","0.0032","-6.7e-07","0.0022","-3.02e-05","0.0053"
"RAS/MAPK","CNA_MAPK8","mRNA_MAPK1","Drug_gefitinib","-2.09e-06","7e-04","-2.642e-05","0.0107","2.433e-05","0.0112"
"RAS/MAPK","CNA_MAPK8","mRNA_MAPK3","Drug_gefitinib","2.771e-05","0.0035","1.85e-06","0.0027","2.586e-05","0.0055"
"RAS/MAPK","CNA_MAPK8","mRNA_MAPK8","Drug_gefitinib","2.101e-05","0.0195","7.71e-06","0.0015","1.33e-05","0.0198"
"RAS/MAPK","CNA_MAPK8","mRNA_MAPK14","Drug_gefitinib","1.502e-05","0.0013","2.372e-05","0.0155","-8.69e-06","0.0166"
"RAS/MAPK","CNA_MAPK8","mRNA_RPS6KA1","Drug_gefitinib","1.19e-06","0.0017","-1.836e-05","0.0054","1.955e-05","0.0069"
"RAS/MAPK","CNA_MAPK8","mRNA_RAF1","Drug_gefitinib","-1.503e-05","0.0037","1.9e-05","0.0055","-3.403e-05","0.009"
"RAS/MAPK","CNA_MAPK8","mRNA_MAP2K1","Drug_gefitinib","-1.127e-05","9e-04","-2.66e-06","0.0037","-8.61e-06","0.0046"
"RAS/MAPK","CNA_MAPK8","mRNA_JUN","Drug_gefitinib","4.71e-06","0.0026","-1.7e-07","0.0021","4.88e-06","0.0046"
"RAS/MAPK","CNA_MAPK8","Protein_ARAF","Drug_gefitinib","-6.466e-05","0.0027","5.71e-06","0.0073","-7.037e-05","0.01"
"RAS/MAPK","CNA_MAPK8","Protein_JUN","Drug_gefitinib","-3.42e-06","0.0012","-1e-08","0.0017","-3.41e-06","0.0029"
"RAS/MAPK","CNA_MAPK8","Protein_RAF1","Drug_gefitinib","9.3e-07","3e-04","-1.279e-05","0.0044","1.373e-05","0.0046"
"RAS/MAPK","CNA_MAPK8","Protein_MAPK1","Drug_gefitinib","8.44e-06","0.0011","-1.28e-06","0.002","9.73e-06","0.0029"
"RAS/MAPK","CNA_MAPK8","Protein_MAPK8","Drug_gefitinib","1.5e-06","3e-04","1.34e-06","4e-04","1.6e-07","6e-04"
"RAS/MAPK","CNA_MAPK8","Protein_MAP2K1","Drug_gefitinib","-1.176e-05","0.0014","4.09e-06","0.0024","-1.585e-05","0.0038"
"RAS/MAPK","CNA_MAPK8","Protein_MAPK14","Drug_gefitinib","-2.57e-06","0.0011","-9e-08","4e-04","-2.48e-06","0.0012"
"RAS/MAPK","CNA_MAPK8","Protein_RPS6KA1","Drug_gefitinib","0.0059234","0.1684","-2.366e-05","0.0096","0.00594706","0.1742"
"RAS/MAPK","CNA_MAPK8","Protein_YBX1","Drug_gefitinib","8.351e-05","0.0054","-7.92e-06","0.0115","9.143e-05","0.0161"
"RAS/MAPK","CNA_MAP2K1","mRNA_YBX1","Drug_gefitinib","3.8e-07","6e-04","-2.13e-06","0.0028","2.51e-06","0.0034"
"RAS/MAPK","CNA_MAP2K1","mRNA_ARAF","Drug_gefitinib","-3.495e-05","0.0049","-2.53e-06","0.0018","-3.242e-05","0.0062"
"RAS/MAPK","CNA_MAP2K1","mRNA_MAPK1","Drug_gefitinib","-8.47e-06","0.001","-1.379e-05","0.0058","5.31e-06","0.0068"
"RAS/MAPK","CNA_MAP2K1","mRNA_MAPK3","Drug_gefitinib","2.6e-06","5e-04","-1.733e-05","0.007","1.993e-05","0.0074"
"RAS/MAPK","CNA_MAP2K1","mRNA_MAPK8","Drug_gefitinib","-3.77e-06","0.0016","4.7e-06","0.0017","-8.47e-06","0.0031"
"RAS/MAPK","CNA_MAP2K1","mRNA_MAPK14","Drug_gefitinib","1.26e-06","7e-04","8.98e-06","0.0083","-7.72e-06","0.009"
"RAS/MAPK","CNA_MAP2K1","mRNA_RPS6KA1","Drug_gefitinib","-0.00029527","0.0111","-2.589e-05","0.0121","-0.00026939","0.0221"
"RAS/MAPK","CNA_MAP2K1","mRNA_RAF1","Drug_gefitinib","-2.81e-06","0.0011","-2.92e-06","0.0089","1.1e-07","0.01"
"RAS/MAPK","CNA_MAP2K1","mRNA_MAP2K1","Drug_gefitinib","-0.00021695","0.0325","1.348e-05","0.0029","-0.00023043","0.0335"
"RAS/MAPK","CNA_MAP2K1","mRNA_JUN","Drug_gefitinib","-1.313e-05","0.0019","6.967e-05","0.0113","-8.28e-05","0.0126"
"RAS/MAPK","CNA_MAP2K1","Protein_ARAF","Drug_gefitinib","2.031e-05","0.0053","2.44e-06","0.0025","1.788e-05","0.0073"
"RAS/MAPK","CNA_MAP2K1","Protein_JUN","Drug_gefitinib","-5.35e-06","8e-04","4e-07","3e-04","-5.74e-06","0.0011"
"RAS/MAPK","CNA_MAP2K1","Protein_RAF1","Drug_gefitinib","-1.061e-05","0.0012","-4.8e-07","0.0022","-1.013e-05","0.0034"
"RAS/MAPK","CNA_MAP2K1","Protein_MAPK1","Drug_gefitinib","2.19e-06","4e-04","-7.9e-07","0.0019","2.97e-06","0.0023"
"RAS/MAPK","CNA_MAP2K1","Protein_MAPK8","Drug_gefitinib","6.6e-07","7e-04","8e-08","4e-04","5.8e-07","0.0011"
"RAS/MAPK","CNA_MAP2K1","Protein_MAP2K1","Drug_gefitinib","6.49e-06","0.0023","-1.933e-05","0.0013","2.581e-05","0.0036"
"RAS/MAPK","CNA_MAP2K1","Protein_MAPK14","Drug_gefitinib","3.42e-06","9e-04","3.34e-06","1e-04","7e-08","0.001"
"RAS/MAPK","CNA_MAP2K1","Protein_RPS6KA1","Drug_gefitinib","0.00049108","0.02","-3.113e-05","0.008","0.00052221","0.0278"
"RAS/MAPK","CNA_MAP2K1","Protein_YBX1","Drug_gefitinib","-2.68e-05","0.0015","-1.188e-05","0.0048","-1.492e-05","0.0063"
"RAS/MAPK","CNA_MAPK3","mRNA_YBX1","Drug_gefitinib","4.41e-06","0.0021","-3.85e-06","0.0022","8.26e-06","0.004"
"RAS/MAPK","CNA_MAPK3","mRNA_ARAF","Drug_gefitinib","-3.22e-06","0.0015","2.59e-06","0.0012","-5.81e-06","0.0027"
"RAS/MAPK","CNA_MAPK3","mRNA_MAPK1","Drug_gefitinib","2.4e-07","3e-04","-6.03e-06","0.0033","6.27e-06","0.0036"
"RAS/MAPK","CNA_MAPK3","mRNA_MAPK3","Drug_gefitinib","-0.00052166","0.0361","2.112e-05","0.0035","-0.00054278","0.0372"
"RAS/MAPK","CNA_MAPK3","mRNA_MAPK8","Drug_gefitinib","-2.54e-06","5e-04","1.093e-05","0.0014","-1.347e-05","0.0019"
"RAS/MAPK","CNA_MAPK3","mRNA_MAPK14","Drug_gefitinib","9.78e-06","0.0023","-7.76e-06","0.0144","1.754e-05","0.0157"
"RAS/MAPK","CNA_MAPK3","mRNA_RPS6KA1","Drug_gefitinib","-1.975e-05","0.0046","-0.00027108","0.0487","0.00025133","0.0506"
"RAS/MAPK","CNA_MAPK3","mRNA_RAF1","Drug_gefitinib","7.7e-07","0.0013","-1.856e-05","0.0075","1.933e-05","0.0085"
"RAS/MAPK","CNA_MAPK3","mRNA_MAP2K1","Drug_gefitinib","0","1e-04","-3.35e-06","0.0053","3.35e-06","0.0054"
"RAS/MAPK","CNA_MAPK3","mRNA_JUN","Drug_gefitinib","2.295e-05","0.0027","-1.67e-06","0.0018","2.462e-05","0.0041"
"RAS/MAPK","CNA_MAPK3","Protein_ARAF","Drug_gefitinib","-6.73e-05","0.0043","1.622e-05","0.0036","-8.351e-05","0.0079"
"RAS/MAPK","CNA_MAPK3","Protein_JUN","Drug_gefitinib","-1.009e-05","0.0021","-1.56e-06","2e-04","-8.53e-06","0.0023"
"RAS/MAPK","CNA_MAPK3","Protein_RAF1","Drug_gefitinib","-3.337e-05","0.0017","-3e-08","8e-04","-3.334e-05","0.0025"
"RAS/MAPK","CNA_MAPK3","Protein_MAPK1","Drug_gefitinib","-5.4e-07","2e-04","5.31e-06","0.0033","-5.85e-06","0.0035"
"RAS/MAPK","CNA_MAPK3","Protein_MAPK8","Drug_gefitinib","-1.66e-06","1e-04","-1.5e-07","3e-04","-1.51e-06","4e-04"
"RAS/MAPK","CNA_MAPK3","Protein_MAP2K1","Drug_gefitinib","-1.24e-05","0.0024","1.6e-07","0.0019","-1.256e-05","0.0043"
"RAS/MAPK","CNA_MAPK3","Protein_MAPK14","Drug_gefitinib","-5.29e-06","0.0018","-6e-07","3e-04","-4.69e-06","0.0021"
"RAS/MAPK","CNA_MAPK3","Protein_RPS6KA1","Drug_gefitinib","2.308e-05","0.0098","-3.015e-05","0.0113","5.324e-05","0.0208"
"RAS/MAPK","CNA_MAPK3","Protein_YBX1","Drug_gefitinib","-4.02e-05","0.0024","1.555e-05","0.0036","-5.575e-05","0.0056"
"RAS/MAPK","CNA_MAPK1","mRNA_YBX1","Drug_gefitinib","-7.17e-06","0.0024","-2.33e-06","0.0033","-4.84e-06","0.0057"
"RAS/MAPK","CNA_MAPK1","mRNA_ARAF","Drug_gefitinib","-9.97e-06","0.0016","6.58e-06","0.003","-1.655e-05","0.0043"
"RAS/MAPK","CNA_MAPK1","mRNA_MAPK1","Drug_gefitinib","-0.00135681","0.0357","9.38e-06","0.0021","-0.00136619","0.0357"
"RAS/MAPK","CNA_MAPK1","mRNA_MAPK3","Drug_gefitinib","3.211e-05","0.0025","3.47e-06","0.0037","2.864e-05","0.0061"
"RAS/MAPK","CNA_MAPK1","mRNA_MAPK8","Drug_gefitinib","-2.74e-06","0.0012","-4.41e-05","0.0115","4.136e-05","0.0121"
"RAS/MAPK","CNA_MAPK1","mRNA_MAPK14","Drug_gefitinib","-6.81e-06","1e-04","-5.68e-06","0.0079","-1.14e-06","0.008"
"RAS/MAPK","CNA_MAPK1","mRNA_RPS6KA1","Drug_gefitinib","8.17e-06","0.0031","-8.453e-05","0.012","9.27e-05","0.0146"
"RAS/MAPK","CNA_MAPK1","mRNA_RAF1","Drug_gefitinib","2.979e-05","0.0027","3.66e-06","0.0078","2.613e-05","0.01"
"RAS/MAPK","CNA_MAPK1","mRNA_MAP2K1","Drug_gefitinib","1.224e-05","0.0014","-1.516e-05","0.0047","2.74e-05","0.006"
"RAS/MAPK","CNA_MAPK1","mRNA_JUN","Drug_gefitinib","8.28e-06","0.001","-2.82e-06","0.0018","1.11e-05","0.0028"
"RAS/MAPK","CNA_MAPK1","Protein_ARAF","Drug_gefitinib","-3.711e-05","0.0052","9.86e-06","0.0096","-4.697e-05","0.0138"
"RAS/MAPK","CNA_MAPK1","Protein_JUN","Drug_gefitinib","-4.69e-06","0.002","1.35e-06","5e-04","-6.04e-06","0.0023"
"RAS/MAPK","CNA_MAPK1","Protein_RAF1","Drug_gefitinib","2.561e-05","0.0016","-7.96e-06","0.0058","3.357e-05","0.0071"
"RAS/MAPK","CNA_MAPK1","Protein_MAPK1","Drug_gefitinib","-2.707e-05","0.0031","-3.82e-06","0.007","-2.325e-05","0.0101"
"RAS/MAPK","CNA_MAPK1","Protein_MAPK8","Drug_gefitinib","5.19e-06","8e-04","-1.25e-06","5e-04","6.43e-06","0.0013"
"RAS/MAPK","CNA_MAPK1","Protein_MAP2K1","Drug_gefitinib","-9e-08","0.0016","1.45e-06","0.0018","-1.54e-06","0.0032"
"RAS/MAPK","CNA_MAPK1","Protein_MAPK14","Drug_gefitinib","-1.42e-06","0.001","6.3e-07","5e-04","-2.05e-06","0.0015"
"RAS/MAPK","CNA_MAPK1","Protein_RPS6KA1","Drug_gefitinib","0.0001373","0.0156","-2.466e-05","0.0109","0.00016196","0.0255"
"RAS/MAPK","CNA_MAPK1","Protein_YBX1","Drug_gefitinib","0.00044166","0.0282","-3.238e-05","0.0078","0.00047404","0.0349"
"RAS/MAPK","CNA_RAF1","mRNA_YBX1","Drug_gefitinib","3.022e-05","0.0037","-2.114e-05","0.0098","5.136e-05","0.013"
"RAS/MAPK","CNA_RAF1","mRNA_ARAF","Drug_gefitinib","-2.229e-05","0.0014","2.143e-05","0.0055","-4.372e-05","0.0068"
"RAS/MAPK","CNA_RAF1","mRNA_MAPK1","Drug_gefitinib","-7.49e-06","6e-04","-7.37e-06","0.0062","-1.1e-07","0.0068"
